 Formula: Ag55Au92                              Feff8L (EXAFS)       0.1
 SpaceGroup: P1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=47 Rmt= 1.558 Rnm= 1.611 K  shell
 Pot 1 Z=79 Rmt= 1.593 Rnm= 1.655
 Pot 2 Z=47 Rmt= 1.519 Rnm= 1.565
 Gam_ch=8.302E+00 H-L exch
 Mu=-1.286E+00 kf=1.700E+00 Vint=-1.230E+01 Rs_int= 2.133
 PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   32      icalc       2
 -----------------------------------------------------------------------
   3   2.000   4.3143    3.0611   -1.28562 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  47 Ag       absorbing atom
     1.7875   -0.9935   -2.1790  2  47 Ag
     0.8040    1.7120   -2.0050  2  47 Ag
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.0198E+01  8.8304E-06 -7.2940E+00  1.050E+00  3.1743E+00  1.7293E+00
  0.100  1.0197E+01  9.0422E-03 -8.1413E+00  1.052E+00  3.1792E+00  1.7320E+00
  0.200  1.0195E+01  1.7434E-02 -8.9551E+00  1.055E+00  3.1939E+00  1.7400E+00
  0.300  1.0190E+01  2.4588E-02 -9.7367E+00  1.062E+00  3.2180E+00  1.7534E+00
  0.400  1.0183E+01  3.0028E-02 -1.0487E+01  1.070E+00  3.2509E+00  1.7720E+00
  0.500  1.0174E+01  3.3416E-02 -1.1208E+01  1.080E+00  3.2918E+00  1.7957E+00
  0.600  1.0162E+01  3.4569E-02 -1.1901E+01  1.093E+00  3.3398E+00  1.8244E+00
  0.700  1.0148E+01  3.3440E-02 -1.2569E+01  1.106E+00  3.3935E+00  1.8578E+00
  0.800  1.0129E+01  3.0104E-02 -1.3221E+01  1.120E+00  3.4519E+00  1.8958E+00
  0.900  1.0107E+01  2.4602E-02 -1.3872E+01  1.135E+00  3.5135E+00  1.9383E+00
  1.000  1.0080E+01  1.7613E-02 -1.4565E+01  1.151E+00  3.5771E+00  1.9851E+00
  1.100  1.0048E+01  1.0151E-02 -1.5499E+01  1.166E+00  3.6414E+00  2.0361E+00
  1.200  1.0011E+01  8.5715E-03 -1.7186E+01  1.182E+00  3.7051E+00  2.0912E+00
  1.300  9.9673E+00  1.7239E-02 -1.8299E+01  1.197E+00  3.7675E+00  2.1502E+00
  1.400  9.9176E+00  2.8653E-02 -1.8932E+01  1.211E+00  3.8280E+00  2.2132E+00
  1.500  9.8609E+00  4.0642E-02 -1.9429E+01  1.225E+00  3.8863E+00  2.2801E+00
  1.600  9.7967E+00  5.2342E-02 -1.9861E+01  1.237E+00  3.9431E+00  2.3510E+00
  1.700  9.7244E+00  6.3022E-02 -2.0249E+01  1.248E+00  3.9996E+00  2.4260E+00
  1.800  9.6434E+00  7.2025E-02 -2.0602E+01  1.256E+00  4.0580E+00  2.5052E+00
  1.900  9.5530E+00  7.8525E-02 -2.0923E+01  1.262E+00  4.1216E+00  2.5889E+00
  2.000  9.4455E+00  8.2376E-02 -2.1205E+01  1.263E+00  4.1979E+00  2.6797E+00
  2.200  9.1811E+00  1.0131E-01 -2.1836E+01  1.439E+00  3.6404E+00  2.8832E+00
  2.400  9.1237E+00  1.3365E-01 -2.2520E+01  1.565E+00  3.3097E+00  3.0213E+00
  2.600  9.0748E+00  1.5012E-01 -2.3179E+01  1.605E+00  3.1870E+00  3.1543E+00
  2.800  8.9958E+00  1.4873E-01 -2.3790E+01  1.599E+00  3.1603E+00  3.2982E+00
  3.000  8.9005E+00  1.3671E-01 -2.4363E+01  1.572E+00  3.1883E+00  3.4486E+00
  3.200  8.7960E+00  1.2071E-01 -2.4879E+01  1.526E+00  3.2518E+00  3.6049E+00
  3.400  8.6821E+00  1.0078E-01 -2.5319E+01  1.480E+00  3.3408E+00  3.7666E+00
  3.600  8.5642E+00  7.9434E-02 -2.5675E+01  1.434E+00  3.4492E+00  3.9328E+00
  3.800  8.4427E+00  5.7366E-02 -2.5921E+01  1.389E+00  3.5730E+00  4.1032E+00
  4.000  8.3174E+00  3.9304E-02 -2.6019E+01  1.350E+00  3.7094E+00  4.2771E+00
  4.200  8.1912E+00  2.9567E-02 -2.5914E+01  1.312E+00  3.8565E+00  4.4540E+00
  4.400  8.0612E+00  2.9918E-02 -2.5748E+01  1.278E+00  4.0127E+00  4.6336E+00
  4.600  7.9287E+00  3.6690E-02 -2.5736E+01  1.249E+00  4.1768E+00  4.8156E+00
  4.800  7.7943E+00  4.5160E-02 -2.5841E+01  1.224E+00  4.3480E+00  4.9995E+00
  5.000  7.6579E+00  5.3860E-02 -2.5977E+01  1.198E+00  4.5254E+00  5.1852E+00
  5.200  7.5208E+00  6.1837E-02 -2.6110E+01  1.175E+00  4.7085E+00  5.3723E+00
  5.400  7.3831E+00  6.9013E-02 -2.6227E+01  1.154E+00  4.8966E+00  5.5608E+00
  5.600  7.2468E+00  7.5500E-02 -2.6335E+01  1.133E+00  5.0894E+00  5.7505E+00
  5.800  7.1123E+00  8.1342E-02 -2.6436E+01  1.114E+00  5.2866E+00  5.9411E+00
  6.000  6.9805E+00  8.6202E-02 -2.6540E+01  1.096E+00  5.4877E+00  6.1326E+00
  6.500  6.6665E+00  9.1377E-02 -2.6831E+01  1.060E+00  6.0062E+00  6.6147E+00
  7.000  6.3749E+00  8.5641E-02 -2.7130E+01  1.034E+00  6.5444E+00  7.1003E+00
  7.500  6.0898E+00  7.3996E-02 -2.7413E+01  1.014E+00  7.0997E+00  7.5886E+00
  8.000  5.8126E+00  6.1049E-02 -2.7684E+01  9.936E-01  7.6702E+00  8.0790E+00
  8.500  5.5408E+00  4.9008E-02 -2.7928E+01  9.755E-01  8.2543E+00  8.5711E+00
  9.000  5.2819E+00  3.9320E-02 -2.8160E+01  9.607E-01  8.8507E+00  9.0643E+00
  9.500  5.0368E+00  3.0547E-02 -2.8412E+01  9.502E-01  9.4583E+00  9.5586E+00
 10.000  4.8009E+00  2.1725E-02 -2.8645E+01  9.431E-01  1.0076E+01  1.0054E+01
 11.000  4.3516E+00  9.6239E-03 -2.8869E+01  9.325E-01  1.1340E+01  1.1046E+01
 12.000  3.9415E+00  4.6414E-03 -2.8785E+01  9.262E-01  1.2637E+01  1.2040E+01
 13.000  3.5597E+00  1.7129E-03 -2.8373E+01  9.235E-01  1.3963E+01  1.3035E+01
 14.000  3.2049E+00  2.1242E-03 -2.7568E+01  9.219E-01  1.5316E+01  1.4031E+01
 15.000  2.8756E+00  3.1197E-03 -2.7961E+01  9.220E-01  1.6692E+01  1.5028E+01
 16.000  2.5671E+00  1.4607E-03 -2.8564E+01  9.223E-01  1.8089E+01  1.6025E+01
 17.000  2.2792E+00  3.3702E-04 -2.7049E+01  9.229E-01  1.9505E+01  1.7023E+01
 18.000  2.0070E+00  1.5126E-03 -2.6698E+01  9.228E-01  2.0939E+01  1.8021E+01
 19.000  1.7504E+00  2.2607E-03 -2.7122E+01  9.226E-01  2.2390E+01  1.9019E+01
 20.000  1.5068E+00  2.4524E-03 -2.7485E+01  9.228E-01  2.3855E+01  2.0018E+01
