PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
     1    2   1.000  index, nleg, degeneracy, r=  2.7563
      x           y           z     ipot  label      rleg      beta        eta
    1.026500   -2.612000   -0.020500   2 'Ag    '     2.8065  120.6132    0.0000
   -0.752000   -1.783000    2.007000   2 'Ag    '     2.8215  119.9611    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.7879  119.4257    0.0000
    21    2   1.000  index, nleg, degeneracy, r=  4.2143
      x           y           z     ipot  label      rleg      beta        eta
    0.091500   -0.105000   -4.212000   2 'Ag    '     4.2143  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     4.2143  180.0000    0.0000
    22    3   2.000  index, nleg, degeneracy, r=  4.2213
      x           y           z     ipot  label      rleg      beta        eta
    1.850000   -0.616000    2.013500   2 'Ag    '     2.8029  120.9264    0.0000
   -0.752000   -1.783000    2.007000   2 'Ag    '     2.8517  120.4102    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.7879  118.6634    0.0000
    23    3   2.000  index, nleg, degeneracy, r=  4.2384
      x           y           z     ipot  label      rleg      beta        eta
   -1.190000    2.605000   -0.173000   2 'Ag    '     2.8692  122.3895    0.0000
    0.804000    1.712000   -2.005000   2 'Ag    '     2.8513  118.4793    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.7563  119.1311    0.0000
    24    3   2.000  index, nleg, degeneracy, r=  4.2682
      x           y           z     ipot  label      rleg      beta        eta
   -1.190000    2.605000   -0.173000   2 'Ag    '     2.8692  121.8952    0.0000
    0.708500    1.934500    1.882000   2 'Ag    '     2.8770  119.1925    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     2.7904  118.9123    0.0000
    25    2   1.000  index, nleg, degeneracy, r=  4.2693
      x           y           z     ipot  label      rleg      beta        eta
   -3.994000    1.507000   -0.062000   2 'Ag    '     4.2693  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Ag    '     4.2693  180.0000    0.0000
    26    3   2.000  index, nleg, degeneracy, r=  4.2778
      x           y           z     ipot  label      rleg      beta        eta
    2.649000    0.969000   -0.108000   2 'Ag    '     2.8227  122.1498    0.0000
    0.708500    1.934500    1.882000   2 'Ag    '     2.9424  121.0766    0.0000
