
======== running Feff module feff8l_genfmt ========
 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
    171     3.642     1.000     2   7.6028
    172     3.634     1.000     2   7.6076
    173     3.624     1.000     2   7.6135
    174     3.622     1.000     2   7.6149
    175     3.601     1.000     2   7.6274
    176     7.155     2.000     2   7.6416
    177     3.565     1.000     2   7.6489
    178     3.561     1.000     2   7.6516
    179     3.559     1.000     2   7.6527
    180     3.555     1.000     2   7.6554
    181     3.549     1.000     2   7.6591
    182     3.532     1.000     2   7.6692
    183     3.522     1.000     2   7.6756
    184     3.520     1.000     2   7.6768
    185     3.509     1.000     2   7.6834
    186     3.485     1.000     2   7.6988
    187     3.442     1.000     2   7.7259
    188     3.433     1.000     2   7.7314
    189     3.425     1.000     2   7.7367
    190     3.346     1.000     2   7.7879
    191     3.324     1.000     2   7.8025
    192     3.320     1.000     2   7.8055
    193     3.296     1.000     2   7.8214
    194     3.285     1.000     2   7.8290
    195     3.277     1.000     2   7.8339
    196     3.226     1.000     2   7.8687
    197     3.222     1.000     2   7.8720
    198     3.215     1.000     2   7.8763
    199     3.179     1.000     2   7.9016
  193 paths kept,  199 examined.
 Done with module 5: F_eff.
Note: The following floating-point exceptions are signalling: IEEE_UNDERFLOW_FLAG IEEE_DENORMAL
