 Formula: Ag55Au92                              Feff8L (EXAFS)       0.1
 SpaceGroup: P1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=47 Rmt= 1.558 Rnm= 1.611 K  shell
 Pot 1 Z=79 Rmt= 1.593 Rnm= 1.655
 Pot 2 Z=47 Rmt= 1.519 Rnm= 1.565
 Gam_ch=8.302E+00 H-L exch
 Mu=-1.286E+00 kf=1.700E+00 Vint=-1.230E+01 Rs_int= 2.133
 PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path  158      icalc       2
 -----------------------------------------------------------------------
   2   1.000   7.5361    3.0611   -1.28562 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  47 Ag       absorbing atom
     0.4155   -4.4305    6.0820  1  79 Au
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.0198E+01  7.0438E-05 -8.3134E+00  1.050E+00  3.1743E+00  1.7293E+00
  0.100  1.0197E+01  7.2918E-02 -9.7834E+00  1.052E+00  3.1792E+00  1.7320E+00
  0.200  1.0195E+01  1.4529E-01 -1.1175E+01  1.055E+00  3.1939E+00  1.7400E+00
  0.300  1.0190E+01  2.1657E-01 -1.2490E+01  1.062E+00  3.2180E+00  1.7534E+00
  0.400  1.0183E+01  2.8625E-01 -1.3730E+01  1.070E+00  3.2509E+00  1.7720E+00
  0.500  1.0174E+01  3.5384E-01 -1.4896E+01  1.080E+00  3.2918E+00  1.7957E+00
  0.600  1.0162E+01  4.1892E-01 -1.5990E+01  1.093E+00  3.3398E+00  1.8244E+00
  0.700  1.0148E+01  4.8107E-01 -1.7014E+01  1.106E+00  3.3935E+00  1.8578E+00
  0.800  1.0129E+01  5.3993E-01 -1.7970E+01  1.120E+00  3.4519E+00  1.8958E+00
  0.900  1.0107E+01  5.9520E-01 -1.8861E+01  1.135E+00  3.5135E+00  1.9383E+00
  1.000  1.0080E+01  6.4655E-01 -1.9687E+01  1.151E+00  3.5771E+00  1.9851E+00
  1.100  1.0048E+01  6.9367E-01 -2.0450E+01  1.166E+00  3.6414E+00  2.0361E+00
  1.200  1.0011E+01  7.3623E-01 -2.1152E+01  1.182E+00  3.7051E+00  2.0912E+00
  1.300  9.9673E+00  7.7386E-01 -2.1792E+01  1.197E+00  3.7675E+00  2.1502E+00
  1.400  9.9176E+00  8.0610E-01 -2.2373E+01  1.211E+00  3.8280E+00  2.2132E+00
  1.500  9.8609E+00  8.3246E-01 -2.2891E+01  1.225E+00  3.8863E+00  2.2801E+00
  1.600  9.7967E+00  8.5238E-01 -2.3346E+01  1.237E+00  3.9431E+00  2.3510E+00
  1.700  9.7244E+00  8.6527E-01 -2.3736E+01  1.248E+00  3.9996E+00  2.4260E+00
  1.800  9.6434E+00  8.7053E-01 -2.4058E+01  1.256E+00  4.0580E+00  2.5052E+00
  1.900  9.5530E+00  8.6722E-01 -2.4303E+01  1.262E+00  4.1216E+00  2.5889E+00
  2.000  9.4455E+00  8.4413E-01 -2.4432E+01  1.263E+00  4.1979E+00  2.6797E+00
  2.200  9.1811E+00  8.3871E-01 -2.4465E+01  1.439E+00  3.6404E+00  2.8832E+00
  2.400  9.1237E+00  8.7367E-01 -2.5301E+01  1.565E+00  3.3097E+00  3.0213E+00
  2.600  9.0748E+00  8.7843E-01 -2.6120E+01  1.605E+00  3.1870E+00  3.1543E+00
  2.800  8.9958E+00  8.4660E-01 -2.6739E+01  1.599E+00  3.1603E+00  3.2982E+00
  3.000  8.9005E+00  8.0825E-01 -2.7224E+01  1.572E+00  3.1883E+00  3.4486E+00
  3.200  8.7960E+00  7.7170E-01 -2.7609E+01  1.526E+00  3.2518E+00  3.6049E+00
  3.400  8.6821E+00  7.3583E-01 -2.7927E+01  1.480E+00  3.3408E+00  3.7666E+00
  3.600  8.5642E+00  7.0259E-01 -2.8203E+01  1.434E+00  3.4492E+00  3.9328E+00
  3.800  8.4427E+00  6.5788E-01 -2.8449E+01  1.389E+00  3.5730E+00  4.1032E+00
  4.000  8.3174E+00  6.0903E-01 -2.8671E+01  1.350E+00  3.7094E+00  4.2771E+00
  4.200  8.1912E+00  5.5003E-01 -2.8872E+01  1.312E+00  3.8565E+00  4.4540E+00
