 Formula: Ag55Au92                              Feff8L (EXAFS)       0.1
 SpaceGroup: P1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=47 Rmt= 1.558 Rnm= 1.611 K  shell
 Pot 1 Z=79 Rmt= 1.593 Rnm= 1.655
 Pot 2 Z=47 Rmt= 1.519 Rnm= 1.565
 Gam_ch=8.302E+00 H-L exch
 Mu=-1.286E+00 kf=1.700E+00 Vint=-1.230E+01 Rs_int= 2.133
 PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   20      icalc       2
 -----------------------------------------------------------------------
   3   2.000   4.2080    3.0611   -1.28562 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  47 Ag       absorbing atom
     1.0265   -2.6120   -0.0205  2  47 Ag
    -0.7520   -1.7830    2.0070  2  47 Ag
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.0198E+01  9.3552E-06 -7.6378E+00  1.050E+00  3.1743E+00  1.7293E+00
  0.100  1.0197E+01  9.5785E-03 -8.4646E+00  1.052E+00  3.1792E+00  1.7320E+00
  0.200  1.0195E+01  1.8462E-02 -9.2597E+00  1.055E+00  3.1939E+00  1.7400E+00
  0.300  1.0190E+01  2.6022E-02 -1.0024E+01  1.062E+00  3.2180E+00  1.7534E+00
  0.400  1.0183E+01  3.1754E-02 -1.0760E+01  1.070E+00  3.2509E+00  1.7720E+00
  0.500  1.0174E+01  3.5304E-02 -1.1467E+01  1.080E+00  3.2918E+00  1.7957E+00
  0.600  1.0162E+01  3.6484E-02 -1.2149E+01  1.093E+00  3.3398E+00  1.8244E+00
  0.700  1.0148E+01  3.5255E-02 -1.2810E+01  1.106E+00  3.3935E+00  1.8578E+00
  0.800  1.0129E+01  3.1717E-02 -1.3458E+01  1.120E+00  3.4519E+00  1.8958E+00
  0.900  1.0107E+01  2.5897E-02 -1.4115E+01  1.135E+00  3.5135E+00  1.9383E+00
  1.000  1.0080E+01  1.8708E-02 -1.4828E+01  1.151E+00  3.5771E+00  1.9851E+00
  1.100  1.0048E+01  1.1542E-02 -1.5807E+01  1.166E+00  3.6414E+00  2.0361E+00
  1.200  1.0011E+01  1.0983E-02 -1.7342E+01  1.182E+00  3.7051E+00  2.0912E+00
  1.300  9.9673E+00  1.9902E-02 -1.8386E+01  1.197E+00  3.7675E+00  2.1502E+00
  1.400  9.9176E+00  3.1786E-02 -1.9023E+01  1.211E+00  3.8280E+00  2.2132E+00
  1.500  9.8609E+00  4.4392E-02 -1.9522E+01  1.225E+00  3.8863E+00  2.2801E+00
  1.600  9.7967E+00  5.6734E-02 -1.9954E+01  1.237E+00  3.9431E+00  2.3510E+00
  1.700  9.7244E+00  6.8011E-02 -2.0339E+01  1.248E+00  3.9996E+00  2.4260E+00
  1.800  9.6434E+00  7.7549E-02 -2.0688E+01  1.256E+00  4.0580E+00  2.5052E+00
  1.900  9.5530E+00  8.4386E-02 -2.1005E+01  1.262E+00  4.1216E+00  2.5889E+00
  2.000  9.4455E+00  8.8394E-02 -2.1281E+01  1.263E+00  4.1979E+00  2.6797E+00
