PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
  pathindex     sig2   amp ratio    deg    nlegs  r effective
      158     0.00000     2.805     6.000     3   6.4496
      160     0.00000     3.123     6.000     4   6.4550
      161     0.00000     8.716     6.000     3   6.4596
      162     0.00000     7.352     6.000     3   6.4596
      163     0.00000     4.857     3.000     2   6.4634
      164     0.00000     7.698     6.000     3   6.4739
      166     0.00000     3.610     3.000     4   6.4952
      167     0.00000     5.497     6.000     4   6.4952
      168     0.00000     2.958     3.000     4   6.4952
      170     0.00000     3.948     6.000     3   6.5015
      171     0.00000     3.888     6.000     4   6.5452
      172     0.00000     3.165     6.000     5   6.5808
      173     0.00000     2.745     6.000     5   6.5808
      174     0.00000     3.597     6.000     3   6.5917
      175     0.00000     4.903     6.000     3   6.5994
      177     0.00000     5.166     6.000     3   6.6237
      178     0.00000     3.070    12.000     3   6.6440
      179     0.00000     4.788    12.000     3   6.6565
      180     0.00000     5.114     6.000     3   6.6654
      181     0.00000     4.308     3.000     2   6.7371
      185     0.00000     4.014     6.000     4   6.7510
      186     0.00000     4.214     3.000     2   6.7882
      187     0.00000     7.284     6.000     3   6.8097
      188     0.00000     3.268     3.000     4   6.8312
      189     0.00000     4.122     3.000     2   6.8399
      190     0.00000     4.193     6.000     3   6.8761
      191     0.00000     4.053     3.000     2   6.8795
      192     0.00000     4.410     6.000     4   6.8849
      193     0.00000     3.088     2.000     2   6.8860
      194     0.00000     3.564     2.000     3   6.8860
      195     0.00000     3.469     2.000     3   6.8860
      196     0.00000     6.063     6.000     3   6.8949
      197     0.00000     2.710     6.000     3   6.9118
      198     0.00000     5.595     6.000     3   6.9118
      199     0.00000     3.800     6.000     3   6.9118
      200     0.00000     3.011     6.000     4   6.9165
      201     0.00000     4.562     3.000     2   6.9218
      202     0.00000     3.950     3.000     2   6.9404
      203     0.00000     3.266     6.000     3   6.9456
      204     0.00000     5.908     6.000     3   6.9904
      205     0.00000     2.761     6.000     3   7.0354
      206     0.00000     7.582     6.000     2   7.0385
      207     0.00000     4.549    12.000     3   7.0535
      208     0.00000     2.733     6.000     3   7.0573
      209     0.00000     3.713     3.000     2   7.0884
      210     0.00000     5.037     6.000     3   7.1497
      211     0.00000     3.775     6.000     3   7.1798
      212     0.00000     3.464     6.000     3   7.1815
      213     0.00000     3.343     6.000     3   7.2094
      214     0.00000     3.497     3.000     2   7.2343
      215     0.00000     2.864     6.000     3   7.2379
      216     0.00000     3.485     3.000     2   7.2429
      217     0.00000     2.978     6.000     4   7.2671
      218     0.00000     4.893     6.000     3   7.2693
      219     0.00000     2.866     6.000     3   7.2820
      220     0.00000     4.769     6.000     3   7.2928
      221     0.00000     2.819     6.000     3   7.3377
      222     0.00000     3.289     3.000     2   7.3857
      223     0.00000     4.433     6.000     3   7.4080
      224     0.00000     7.457     6.000     2   7.4105
      226     0.00000    15.566    12.000     3   7.4105
      227     0.00000    10.286     6.000     4   7.4105
      228     0.00000     2.816     6.000     3   7.4114
      229     0.00000     3.241     3.000     2   7.4224
      230     0.00000     2.709     6.000     3   7.4450
      231     0.00000     3.169     3.000     2   7.4788
      232     0.00000     4.278     6.000     3   7.4866
      233     0.00000     3.041     6.000     3   7.4866
      234     0.00000     3.399     6.000     3   7.5164
      235     0.00000     3.028     6.000     4   7.5181
      236     0.00000     2.862     6.000     3   7.5270
      238     0.00000     3.656     6.000     3   7.5335
      239     0.00000     2.780     6.000     3   7.5342
      240     0.00000     3.066     3.000     2   7.5618
      241     0.00000     6.109     6.000     2   7.5717
      242     0.00000     3.766     6.000     3   7.5845
      243     0.00000     4.090     6.000     3   7.6222
      244     0.00000     6.521    12.000     3   7.6538
      245     0.00000     6.597     6.000     2   7.7194
      246     0.00000     2.846     3.000     2   7.7523
      247     0.00000     4.612     6.000     3   7.7556
      248     0.00000     3.534     6.000     3   7.7755
      249     0.00000     3.197     3.000     2   7.7998
      250     0.00000     2.742     3.000     2   7.8491
      254     0.00000     3.344    12.000     3   7.8723
      255     0.00000     6.200     6.000     2   7.8791
      256     0.00000     2.828    12.000     4   7.8794
      259     0.00000     3.364     6.000     3   7.9509
      261     0.00000     2.725     6.000     3   7.9520
