 Formula: Fe2O3                                 Feff8L (EXAFS)       0.1
 SpaceGroup: R-3c
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=26 Rmt= 1.286 Rnm= 1.378 K  shell
 Pot 1 Z= 8 Rmt= 1.012 Rnm= 1.086
 Pot 2 Z=26 Rmt= 1.289 Rnm= 1.385
 Gam_ch=1.309E+00 H-L exch
 Mu=-1.025E+00 kf=2.246E+00 Vint=-2.024E+01 Rs_int= 1.615
 PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
    file        sig2   amp ratio    deg    nlegs  r effective
 feff0095.dat 0.00000     4.717     6.000     3   5.7668
 feff0096.dat 0.00000     7.814     6.000     3   5.7668
 feff0097.dat 0.00000     4.260     6.000     4   5.7674
 feff0098.dat 0.00000     2.677     6.000     3   5.8003
 feff0099.dat 0.00000     3.183     6.000     4   5.8048
 feff0101.dat 0.00000    15.020     6.000     2   5.8132
 feff0103.dat 0.00000     3.834     6.000     3   5.8236
 feff0104.dat 0.00000     2.682     6.000     5   5.8292
 feff0105.dat 0.00000     7.385     3.000     2   5.8488
 feff0106.dat 0.00000    10.710     6.000     3   5.8575
 feff0107.dat 0.00000     9.414     6.000     3   5.8575
 feff0109.dat 0.00000     2.725     6.000     3   5.8759
 feff0110.dat 0.00000     6.323     3.000     2   5.8922
 feff0111.dat 0.00000     4.224     3.000     4   5.9018
 feff0112.dat 0.00000     3.583     3.000     4   5.9018
 feff0113.dat 0.00000     3.231     6.000     3   5.9069
 feff0114.dat 0.00000     5.275     6.000     3   5.9206
 feff0115.dat 0.00000     3.940     6.000     4   5.9451
 feff0116.dat 0.00000     7.024     3.000     2   5.9545
 feff0117.dat 0.00000     3.082     6.000     4   5.9753
 feff0118.dat 0.00000     3.290     6.000     5   5.9831
 feff0119.dat 0.00000     2.689     6.000     5   5.9831
 feff0120.dat 0.00000     3.226     6.000     3   6.0107
 feff0121.dat 0.00000     2.788     6.000     3   6.0209
 feff0122.dat 0.00000     6.692     3.000     2   6.0580
 feff0123.dat 0.00000     2.729     6.000     3   6.0672
 feff0124.dat 0.00000     5.794     3.000     2   6.0771
 feff0126.dat 0.00000     4.859     6.000     3   6.0990
 feff0127.dat 0.00000     4.310     6.000     3   6.1030
 feff0128.dat 0.00000     3.401     6.000     3   6.1030
 feff0129.dat 0.00000    11.280     6.000     2   6.1338
 feff0131.dat 0.00000     4.371     6.000     3   6.1992
 feff0132.dat 0.00000     3.384     6.000     3   6.1992
 feff0134.dat 0.00000     5.357     3.000     2   6.2466
 feff0136.dat 0.00000     3.632     6.000     3   6.2516
 feff0137.dat 0.00000    12.230     6.000     2   6.2538
 feff0138.dat 0.00000     4.853     6.000     3   6.2555
 feff0140.dat 0.00000     5.252     3.000     2   6.2899
 feff0141.dat 0.00000     3.715     6.000     3   6.2945
 feff0142.dat 0.00000     8.150     6.000     3   6.2945
 feff0143.dat 0.00000     7.996     6.000     3   6.2945
 feff0144.dat 0.00000    10.150    12.000     3   6.2944
 feff0146.dat 0.00000     2.998     6.000     3   6.3144
 feff0148.dat 0.00000     2.689     6.000     4   6.3351
 feff0149.dat 0.00000     3.065     3.000     4   6.3351
 feff0150.dat 0.00000     3.008     3.000     4   6.3351
 feff0151.dat 0.00000     6.090     6.000     3   6.3403
 feff0153.dat 0.00000     4.104     6.000     3   6.3682
 feff0155.dat 0.00000     3.682     6.000     3   6.3934
 feff0156.dat 0.00000    11.330     6.000     2   6.4239
