 Formula: Fe2O3                                 Feff8L (EXAFS)       0.1
 SpaceGroup: R-3c
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=26 Rmt= 1.286 Rnm= 1.378 K  shell
 Pot 1 Z= 8 Rmt= 1.012 Rnm= 1.086
 Pot 2 Z=26 Rmt= 1.289 Rnm= 1.385
 Gam_ch=1.309E+00 H-L exch
 Mu=-1.025E+00 kf=2.246E+00 Vint=-2.024E+01 Rs_int= 1.615
 PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path  165      icalc       2
 -----------------------------------------------------------------------
   3   2.000   6.8860    2.3017   -1.02520 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  26 Fe       absorbing atom
    -0.0000   -0.0000   -6.8860  2  26 Fe
    -0.0000   -0.0000   -2.9004  2  26 Fe
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  3.1029E+00  1.8694E-05 -1.3197E-01  1.008E+00  2.6149E+01  2.2458E+00
  0.100  3.1025E+00  1.6760E-02 -1.4837E+00  1.008E+00  2.6173E+01  2.2480E+00
  0.200  3.1011E+00  3.3269E-02 -2.7800E+00  1.008E+00  2.6245E+01  2.2543E+00
  0.300  3.0987E+00  4.9290E-02 -4.0228E+00  1.009E+00  2.6356E+01  2.2649E+00
  0.400  3.0954E+00  6.4609E-02 -5.2127E+00  1.009E+00  2.6495E+01  2.2797E+00
  0.500  3.0911E+00  7.9046E-02 -6.3505E+00  1.009E+00  2.6647E+01  2.2985E+00
  0.600  3.0856E+00  9.2455E-02 -7.4374E+00  1.009E+00  2.6792E+01  2.3213E+00
  0.700  3.0790E+00  1.0473E-01 -8.4744E+00  1.010E+00  2.6907E+01  2.3480E+00
  0.800  3.0711E+00  1.1579E-01 -9.4627E+00  1.010E+00  2.6969E+01  2.3785E+00
  0.900  3.0619E+00  1.2560E-01 -1.0404E+01  1.011E+00  2.6954E+01  2.4126E+00
  1.000  3.0511E+00  1.3413E-01 -1.1299E+01  1.011E+00  2.6840E+01  2.4503E+00
  1.100  3.0388E+00  1.4138E-01 -1.2149E+01  1.012E+00  2.6611E+01  2.4914E+00
  1.200  3.0248E+00  1.4738E-01 -1.2955E+01  1.013E+00  2.6257E+01  2.5359E+00
  1.300  3.0089E+00  1.5215E-01 -1.3719E+01  1.015E+00  2.5776E+01  2.5836E+00
  1.400  2.9910E+00  1.5573E-01 -1.4441E+01  1.016E+00  2.5174E+01  2.6344E+00
  1.500  2.9710E+00  1.5818E-01 -1.5121E+01  1.018E+00  2.4465E+01  2.6883E+00
  1.600  2.9485E+00  1.5956E-01 -1.5761E+01  1.021E+00  2.3671E+01  2.7452E+00
  1.700  2.9236E+00  1.5995E-01 -1.6359E+01  1.023E+00  2.2816E+01  2.8051E+00
