 Formula: Fe2O3                                 Feff8L (EXAFS)       0.1
 SpaceGroup: R-3c
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=26 Rmt= 1.286 Rnm= 1.378 K  shell
 Pot 1 Z= 8 Rmt= 1.012 Rnm= 1.086
 Pot 2 Z=26 Rmt= 1.289 Rnm= 1.385
 Gam_ch=1.309E+00 H-L exch
 Mu=-1.025E+00 kf=2.246E+00 Vint=-2.024E+01 Rs_int= 1.615
 PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path  191      icalc       2
 -----------------------------------------------------------------------
   3   6.000   7.2928    2.3017   -1.02520 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  26 Fe       absorbing atom
    -4.2674    4.4827   -3.7455  1   8 O
    -0.7706    1.3346   -1.4502  1   8 O
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  3.1029E+00  3.8830E-05 -2.7756E+00  1.008E+00  2.6149E+01  2.2458E+00
  0.100  3.1025E+00  3.4840E-02 -4.2064E+00  1.008E+00  2.6173E+01  2.2480E+00
  0.200  3.1011E+00  6.9321E-02 -5.5772E+00  1.008E+00  2.6245E+01  2.2543E+00
  0.300  3.0987E+00  1.0310E-01 -6.8899E+00  1.009E+00  2.6356E+01  2.2649E+00
  0.400  3.0954E+00  1.3587E-01 -8.1453E+00  1.009E+00  2.6495E+01  2.2797E+00
  0.500  3.0911E+00  1.6735E-01 -9.3443E+00  1.009E+00  2.6647E+01  2.2985E+00
  0.600  3.0856E+00  1.9733E-01 -1.0488E+01  1.009E+00  2.6792E+01  2.3213E+00
  0.700  3.0790E+00  2.2564E-01 -1.1578E+01  1.010E+00  2.6907E+01  2.3480E+00
  0.800  3.0711E+00  2.5216E-01 -1.2616E+01  1.010E+00  2.6969E+01  2.3785E+00
  0.900  3.0619E+00  2.7684E-01 -1.3602E+01  1.011E+00  2.6954E+01  2.4126E+00
  1.000  3.0511E+00  2.9965E-01 -1.4540E+01  1.011E+00  2.6840E+01  2.4503E+00
  1.100  3.0388E+00  3.2062E-01 -1.5429E+01  1.012E+00  2.6611E+01  2.4914E+00
  1.200  3.0248E+00  3.3979E-01 -1.6271E+01  1.013E+00  2.6257E+01  2.5359E+00
  1.300  3.0089E+00  3.5725E-01 -1.7069E+01  1.015E+00  2.5776E+01  2.5836E+00
  1.400  2.9910E+00  3.7307E-01 -1.7821E+01  1.016E+00  2.5174E+01  2.6344E+00
  1.500  2.9710E+00  3.8735E-01 -1.8531E+01  1.018E+00  2.4465E+01  2.6883E+00
  1.600  2.9485E+00  4.0016E-01 -1.9198E+01  1.021E+00  2.3671E+01  2.7452E+00
  1.700  2.9236E+00  4.1158E-01 -1.9822E+01  1.023E+00  2.2816E+01  2.8051E+00
