
======== running Feff module feff8l_pathfinder ========
 Preparing plane wave scattering amplitudes...
 Searching for paths...
   WARNING:  rmax > distance to most distant atom.
             Some paths may be missing.
             rmax, ratx   8.00000E+00  0.00000E+00
    Rmax  8.0000  keep and heap limits   0.0000000   0.0000000
    Preparing neighbor table
    nfound  heapsize  maxheap  maxscatt   reff
    179000    78114    78426      5      7.4777
    180000    78296    78426      5      7.4807
    181000    78418    78470      5      7.4816
    182000    78499    78500      5      7.4847
    183000    78802    78838      5      7.4873
    184000    78944    79001      5      7.4877
    185000    78814    79001      5      7.4882
    186000    78932    79001      5      7.4908
    187000    79156    79159      5      7.4958
    188000    79363    79414      5      7.4990
    189000    79412    79517      5      7.5008
    190000    79690    79692      5      7.5041
    191000    79793    79800      5      7.5060
    192000    80076    80087      5      7.5093
    193000    80027    80243      5      7.5113
    194000    79707    80243      5      7.5115
    195000    79798    80243      5      7.5123
    196000    79858    80243      5      7.5174
    197000    79704    80243      5      7.5180
    198000    79839    80243      5      7.5201
    199000    80036    80243      5      7.5227
    200000    80042    80243      5      7.5231
    201000    80202    80243      5      7.5244
    202000    80410    80463      5      7.5279
    203000    80405    80463      5      7.5289
    204000    80544    80544      5      7.5306
    205000    80814    80814      5      7.5342
    206000    80990    80998      5      7.5380
    207000    81446    81482      5      7.5401
    208000    81682    81682      5      7.5439
    209000    81780    81797      5      7.5472
    210000    81964    81966      5      7.5509
    211000    82210    82227      5      7.5531
    212000    82376    82424      5      7.5538
    213000    82411    82424      5      7.5553
    214000    82683    82683      5      7.5624
    215000    82905    82907      5      7.5654
    216000    82929    83000      5      7.5687
    217000    82817    83000      5      7.5699
    218000    82771    83000      5      7.5713
    219000    82882    83000      5      7.5738
    220000    83190    83191      5      7.5762
    221000    83442    83442      5      7.5801
    222000    83630    83703      5      7.5824
    223000    83741    83742      5      7.5855
    224000    83882    83883      5      7.5883
    225000    83956    83956      5      7.5888
    226000    84045    84097      5      7.5893
    227000    84191    84196      5      7.5937
    228000    84473    84478      5      7.5953
    229000    84686    84689      5      7.5965
    230000    84553    84689      5      7.5971
    231000    84635    84689      5      7.5982
    232000    84834    84876      5      7.5998
    233000    84794    84876      5      7.6031
    234000    84840    84876      5      7.6055
    235000    85116    85119      5      7.6083
    236000    84992    85119      5      7.6086
    237000    84986    85119      5      7.6095
    238000    85225    85228      5      7.6113
    239000    85245    85281      5      7.6142
    240000    85295    85405      5      7.6170
    241000    85590    85619      5      7.6197
    242000    85460    85619      5      7.6201
    243000    85538    85619      5      7.6233
    244000    85671    85691      5      7.6263
    245000    85934    85935      5      7.6295
    246000    85853    85935      5      7.6308
    247000    85929    85961      5      7.6334
    248000    85757    85961      5      7.6334
    249000    85688    85961      5      7.6349
    250000    85876    85961      5      7.6374
    251000    85865    85961      5      7.6390
    252000    86034    86038      5      7.6406
    253000    85934    86042      5      7.6406
    254000    85901    86042      5      7.6414
    255000    85982    86042      5      7.6437
    256000    85942    86082      5      7.6445
    257000    85903    86082      5      7.6461
    258000    86134    86134      5      7.6496
    259000    86310    86310      5      7.6507
    260000    86430    86477      5      7.6515
    261000    86475    86501      5      7.6521
    262000    86352    86501      5      7.6532
    263000    86317    86501      5      7.6543
    264000    86458    86501      5      7.6578
    265000    86208    86501      5      7.6582
    266000    86156    86501      5      7.6599
    267000    86183    86501      5      7.6612
    268000    86147    86501      5      7.6619
    269000    86290    86501      5      7.6646
    270000    86178    86501      5      7.6647
    271000    86077    86501      5      7.6649
    272000    85970    86501      5      7.6654
    273000    85859    86501      5      7.6658
    274000    85950    86501      5      7.6692
    275000    86055    86501      5      7.6713
    276000    85976    86501      5      7.6733
    277000    86117    86501      5      7.6749
    278000    86148    86501      5      7.6761
    279000    85948    86501      5      7.6768
    280000    85829    86501      5      7.6784
    281000    85659    86501      5      7.6784
    282000    85682    86501      5      7.6814
    283000    85415    86501      5      7.6818
    284000    85307    86501      5      7.6825
    285000    85305    86501      5      7.6840
    286000    85460    86501      5      7.6870
    287000    85531    86501      5      7.6893
    288000    85441    86501      5      7.6898
    289000    85240    86501      5      7.6905
    290000    85508    86501      5      7.6935
    291000    85502    86501      5      7.6939
    292000    85791    86501      5      7.6954
    293000    85862    86501      5      7.6984
    294000    85888    86501      5      7.7012
    295000    85898    86501      5      7.7034
    296000    85931    86501      5      7.7050
    297000    85955    86501      5      7.7062
    298000    85826    86501      5      7.7062
    299000    85859    86501      5      7.7068
    300000    85820    86501      5      7.7081
    301000    86015    86501      5      7.7090
    302000    86107    86501      5      7.7112
    303000    86324    86501      5      7.7125
    304000    86274    86501      5      7.7149
    305000    86481    86520      5      7.7166
    306000    86622    86645      5      7.7177
    307000    86414    86645      5      7.7177
    308000    86406    86645      5      7.7183
    309000    86314    86645      5      7.7207
    310000    86216    86645      5      7.7226
    311000    86115    86645      5      7.7252
    312000    86309    86645      5      7.7280
    313000    86132    86645      5      7.7284
    314000    86195    86645      5      7.7314
    315000    85969    86645      5      7.7314
    316000    85879    86645      5      7.7329
    317000    86076    86645      5      7.7367
    318000    86278    86645      5      7.7375
    319000    86243    86645      5      7.7391
    320000    85948    86645      5      7.7396
    321000    86204    86645      5      7.7427
    322000    86286    86645      5      7.7451
    323000    86412    86645      5      7.7473
    324000    86390    86645      5      7.7490
    325000    86265    86645      5      7.7503
    326000    86314    86645      5      7.7527
    327000    85935    86645      5      7.7528
    328000    85705    86645      5      7.7540
    329000    85754    86645      5      7.7559
    330000    85526    86645      5      7.7564
    331000    85616    86645      5      7.7588
    332000    85559    86645      5      7.7592
    333000    85310    86645      5      7.7593
    334000    85348    86645      5      7.7595
