
======== running Feff module feff8l_genfmt ========
 Calculating EXAFS parameters...
    Curved wave chi amplitude ratio   4.00%
    Discard feff.dat for paths with cw ratio <   2.67%
    path  cw ratio     deg    nleg  reff
    167     5.497     6.000     4   6.4952
    168     2.958     3.000     4   6.4952
    169     2.297     6.000     3   6.4982 neglected
    170     3.948     6.000     3   6.5015
    171     3.888     6.000     4   6.5452
    172     3.165     6.000     5   6.5808
    173     2.745     6.000     5   6.5808
    174     3.597     6.000     3   6.5917
    175     4.903     6.000     3   6.5994
    176     2.206     6.000     3   6.6151 neglected
    177     5.166     6.000     3   6.6237
    178     3.070    12.000     3   6.6440
    179     4.788    12.000     3   6.6565
    180     5.114     6.000     3   6.6654
    181     4.308     3.000     2   6.7371
    182     2.326    12.000     3   6.7467 neglected
    183     2.460    12.000     3   6.7467 neglected
    184     2.461    12.000     3   6.7467 neglected
    185     4.014     6.000     4   6.7510
    186     4.214     3.000     2   6.7882
    187     7.284     6.000     3   6.8097
    188     3.268     3.000     4   6.8312
    189     4.122     3.000     2   6.8399
    190     4.193     6.000     3   6.8761
    191     4.053     3.000     2   6.8795
    192     4.410     6.000     4   6.8849
    193     3.088     2.000     2   6.8860
    194     3.564     2.000     3   6.8860
    195     3.469     2.000     3   6.8860
    196     6.063     6.000     3   6.8949
    197     2.710     6.000     3   6.9118
    198     5.595     6.000     3   6.9118
    199     3.800     6.000     3   6.9118
    200     3.011     6.000     4   6.9165
    201     4.562     3.000     2   6.9218
    202     3.950     3.000     2   6.9404
    203     3.266     6.000     3   6.9456
    204     5.908     6.000     3   6.9904
    205     2.761     6.000     3   7.0354
    206     7.582     6.000     2   7.0385
    207     4.549    12.000     3   7.0535
    208     2.733     6.000     3   7.0573
    209     3.713     3.000     2   7.0884
    210     5.037     6.000     3   7.1497
    211     3.775     6.000     3   7.1798
    212     3.464     6.000     3   7.1815
    213     3.343     6.000     3   7.2094
    214     3.497     3.000     2   7.2343
    215     2.864     6.000     3   7.2379
    216     3.485     3.000     2   7.2429
    217     2.978     6.000     4   7.2671
    218     4.893     6.000     3   7.2693
    219     2.866     6.000     3   7.2820
    220     4.769     6.000     3   7.2928
    221     2.819     6.000     3   7.3377
    222     3.289     3.000     2   7.3857
    223     4.433     6.000     3   7.4080
    224     7.457     6.000     2   7.4105
    225     2.251     6.000     3   7.4105 neglected
    226    15.566    12.000     3   7.4105
    227    10.286     6.000     4   7.4105
    228     2.816     6.000     3   7.4114
    229     3.241     3.000     2   7.4224
    230     2.709     6.000     3   7.4450
    231     3.169     3.000     2   7.4788
    232     4.278     6.000     3   7.4866
    233     3.041     6.000     3   7.4866
    234     3.399     6.000     3   7.5164
    235     3.028     6.000     4   7.5181
    236     2.862     6.000     3   7.5270
    237     2.184     6.000     3   7.5270 neglected
    238     3.656     6.000     3   7.5335
    239     2.780     6.000     3   7.5342
    240     3.066     3.000     2   7.5618
    241     6.109     6.000     2   7.5717
    242     3.766     6.000     3   7.5845
    243     4.090     6.000     3   7.6222
    244     6.521    12.000     3   7.6538
    245     6.597     6.000     2   7.7194
    246     2.846     3.000     2   7.7523
    247     4.612     6.000     3   7.7556
    248     3.534     6.000     3   7.7755
    249     3.197     3.000     2   7.7998
    250     2.742     3.000     2   7.8491
    251     2.388    12.000     3   7.8642 neglected
    252     2.408    12.000     3   7.8642 neglected
    253     2.086    12.000     3   7.8642 neglected
    254     3.344    12.000     3   7.8723
    255     6.200     6.000     2   7.8791
    256     2.828    12.000     4   7.8794
    257     2.654     6.000     3   7.9041 neglected
    258     2.662     3.000     2   7.9273 neglected
    259     3.364     6.000     3   7.9509
    260     2.622     6.000     3   7.9509 neglected
    261     2.725     6.000     3   7.9520
    262     2.585     6.000     3   7.9520 neglected
  224 paths kept,  262 examined.
 Done with module 5: F_eff.
Note: The following floating-point exceptions are signalling: IEEE_UNDERFLOW_FLAG IEEE_DENORMAL
